State_name,Male_population,Female_population,Total_Population,No_Districts,Avg_Population,Sex_Ratio,Sex_Ratio_Remark
ANDAMAN AND NICOBAR ISLANDS,202871,177710,380581,3,126860,1.1415846041303246,Male Higher
ANDHRA PRADESH,42442146,42138631,84580777,23,3677425,1.0072027731513158,Male Higher
ARUNACHAL PRADESH,713912,669815,1383727,16,86482,1.0658345961198241,Male Higher
ASSAM,15939443,15266133,31205576,27,1155762,1.0441048168517857,Male Higher
BIHAR,54278157,49821295,104099452,38,2739459,1.0894569681498645,Male Higher
CHANDIGARH,580663,474787,1055450,1,1055450,1.2229968385823538,Male Higher
CHHATTISGARH,12832895,12712303,25545198,18,1419177,1.009486243365974,Male Higher
DADRA AND NAGAR HAVELI,193760,149949,343709,1,343709,1.2921726720418276,Male Higher
DAMAN AND DIU,150301,92946,243247,2,121623,1.6170787338884944,Male Higher
GOA,739140,719405,1458545,2,729272,1.027432392046205,Male Higher
GUJARAT,31491260,28948432,60439692,26,2324603,1.0878399216924772,Male Higher
HARYANA,13494734,11856728,25351462,21,1207212,1.1381499179200198,Male Higher
HIMACHAL PRADESH,3481873,3382729,6864602,12,572050,1.0293088804926436,Male Higher
JAMMU AND KASHMIR,6640662,5900640,12541302,22,570059,1.125413853412511,Male Higher
JHARKHAND,16930315,16057819,32988134,24,1374505,1.054334651548881,Male Higher
KARNATAKA,30966657,30128640,61095297,30,2036509,1.02781463086286,Male Higher
KERALA,16027412,17378649,33406061,14,2386147,0.9222472932159456,Female Higher
LAKSHADWEEP,33123,31350,64473,1,64473,1.056555023923445,Male Higher
MADHYA PRADESH,37612306,35014503,72626809,50,1452536,1.0741921997293522,Male Higher
MAHARASHTRA,58243056,54131277,112374333,35,3210695,1.075959394048657,Male Higher
MANIPUR,1438586,1417208,2855794,9,317310,1.0150845888535769,Male Higher
MEGHALAYA,1491832,1475057,2966889,7,423841,1.0113724418785173,Male Higher
MIZORAM,555339,541867,1097206,8,137150,1.0248621894302476,Male Higher
NAGALAND,1024649,953853,1978502,11,179863,1.0742210801874084,Male Higher
NCT OF DELHI,8987326,7800615,16787941,9,1865326,1.1521304409972803,Male Higher
ORISSA,21212136,20762082,41974218,30,1399140,1.021676727796374,Male Higher
PONDICHERRY,612511,635442,1247953,4,311988,0.9639133075874745,Female Higher
PUNJAB,14639465,13103873,27743338,20,1387166,1.1171861174173467,Male Higher
RAJASTHAN,35550997,32997440,68548437,33,2077225,1.0773865184693117,Male Higher
SIKKIM,323070,287507,610577,4,152644,1.123694379615105,Male Higher
TAMIL NADU,36137975,36009055,72147030,32,2254594,1.0035802105886977,Male Higher
TRIPURA,1874376,1799541,3673917,4,918479,1.0415856043291039,Male Higher
UTTAR PRADESH,104480510,95331831,199812341,71,2814258,1.0959666766496912,Male Higher
UTTARAKHAND,5137773,4948519,10086292,13,775868,1.0382445737805595,Male Higher
WEST BENGAL,46809027,44467088,91276115,19,4804006,1.0526667948213744,Male Higher
